Plot_ID, Average_Height, Standard_Deveatioin
8:8:3,0.055172,0.007990
1:8:4,0.283929,0.029027
2:8:4,0.244792,0.024869
3:8:4,0.271362,0.021574
4:8:4,0.469474,0.061279
5:8:4,0.240870,0.022851
6:8:4,0.246332,0.016077
7:8:4,0.232228,0.055454
8:8:4,0.078261,0.030397
1:8:5,0.355556,0.012384
2:8:5,0.306186,0.019446
3:8:5,0.370094,0.036489
4:8:5,0.549474,0.055131
5:8:5,0.408696,0.059403
6:8:5,0.268441,0.021171
7:8:5,0.241096,0.056211
8:8:5,0.090909,0.028099
